id;destination;canal;recu_par;est_recu;date_creation
1;tôt repasser;ouah zzzz débile;autour;true;2023-12-04T14:08:11
2;électorat terne guide;raconter;charitable bè;true;2023-12-03T15:51:28
3;boum;considérable retentir cot cot;membre du personnel chef de cuisine;true;2023-12-03T21:09:19
4;chut;rembourser en bas de de la part de;commissionnaire insolite veiller;true;2023-12-04T12:57:36
5;penser tant apte;au-devant au lieu de puisque;lectorat;true;2023-12-04T02:15:12
6;moderne boum;continuer;carrément vraisemblablement au-dessous de;false;2023-12-04T05:50:09
7;désormais;sédentaire adorable;administration impressionner;false;2023-12-03T21:37:38
8;prout ouch à partir de;police de peur que combien;cuicui;false;2023-12-03T20:29:08
9;minuscule;comme sitôt dense;de peur que super;true;2023-12-03T22:37:16
10;direction actionnaire;surmonter avex;mouiller au-dehors membre titulaire;true;2023-12-04T05:10:16
