id;objet;contenu;destinataire;date_envoi
1;envoyer;aigre ha;aux alentours de pauvre;2023-12-04T12:51:57
2;près de certes en plus de;manger depuis chut;sale;2023-12-04T14:07:23
3;en plus de aïe;vis-à-vie de tellement dès que;moyennant personnel efficace;2023-12-04T15:12:54
4;ding descendre plutôt;tout à fait gratis;camarade pschitt;2023-12-03T21:23:50
5;plic appliquer alors que;vu que;rire;2023-12-04T07:12:45
6;antique gai placide;ouille de façon à ce que;par suite de après que valoir;2023-12-04T00:29:24
7;entendre membre titulaire commissionnaire;dans adepte gérer;si cuicui;2023-12-04T09:14:32
8;à peine contre;dring combien moderne;adversaire à l'entour de détacher;2023-12-04T05:40:52
9;aimable;hors gigantesque;solitaire;2023-12-04T03:51:14
10;parler cocorico toc-toc;vouh d'avec;de crainte que;2023-12-04T09:55:08
