id;denomination;code;quantite;modifier_par;date_creation
1;vroum;sans;à seule fin de équipe rectorat;fonctionnaire à l'insu de;2023-12-04T07:46:58
2;autant vaste;ha apte;entre;au-delà;2023-12-04T02:48:07
3;bzzz bientôt;ensuite puis;membre à vie vlan habile;pschitt hypocrite corps enseignant;2023-12-04T03:18:17
4;fendre;priver;en faveur de foule aujourd'hui;commis de cuisine hôte à raison de;2023-12-03T23:33:16
5;tant que personnel professionnel camarade;parler;de manière à ce que;athlète faire;2023-12-03T21:44:56
6;gigantesque;désormais approximativement;miam;dring;2023-12-04T01:54:05
7;extrêmement;trop à même;prestataire de services prout tchou tchouu;en guise de pendant que;2023-12-04T08:03:49
8;atchoum infime sous couleur de;spécialiste;lectorat a au prix de;depuis suggérer;2023-12-04T13:42:43
9;construire vlan tant;sauf;miaou population du Québec commis;prévoir auprès de étonner;2023-12-04T09:02:12
10;en guise de que;devant;voter gestionnaire;pour en faveur de;2023-12-04T03:23:51
